receipt_id,bill_id,date,hour,item_name,category,quantity,unit_price,payment_method,channel,cashier,customer_age_group,customer_distance_km,loyalty_member
R00236,B1150,11-01-2025,8,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,65+,1,No
R02206,B2367,15-04-2025,13,Cooking Oil 1L,Pantry,1,3.2,Card,In-store,Bina,18-25,5,No
R01596,B1978,11-03-2025,14,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Amir,36-50,0.7,No
R00198,B1125,10-01-2025,19,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,36-50,1.9,No
R01823,B2130,22-03-2025,16,bread,Bakery,1,1,Cash,In-store,Bina,26-35,1.1,No
R02360,B2469,29-04-2025,11,Fresh Vegetables Pack,Fresh,2,3.5,Card,In-store,Bina,18-25,2.7,No
R00536,B1322,23-01-2025,10,Eggs (6),Dairy,2,1.8,Cash,In-store,Carlos,36-50,0.8,No
R00272,B1171,12-01-2025,19,Soap Bar,Household,2,0.7,Cash,In-store,Amir,51-65,0.8,No
R02995,B2845,28-05-2025,18,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,65+,0.5,No
R01926,B2190,26-03-2025,7,Frozen Meals,Frozen,4,4,Cash,In-store,Amir,36-50,1.5,No
R00183,B1114,09-01-2025,15,Soap Bar,Household,1,0.7,Cash,In-store,Amir,51-65,1.9,No
R00919,B1563,09-02-2025,12,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,65+,1.8,No
R01852,B2147,23-03-2025,20,Chocolate Bar,Snacks,1,0.9,Online,Online,Amir,18-25,5.1,No
R01494,B1918,06-03-2025,10,coke,Beverages,1,1.2,Cash,In-store,Carlos,51-65,2.4,Yes
R01333,B1825,27-02-2025,9,Eggs (6),Dairy,2,1.8,Cash,In-store,Bina,51-65,1.5,No
R02641,B2632,13-05-2025,20,Frozen Meals,Frozen,3,4,Cash,In-store,Amir,65+,1.4,No
R01570,B1960,09-03-2025,13,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,36-50,0.3,No
R00260,B1164,12-01-2025,15,Milk 1L,Dairy,3,1.4,Cash,In-store,Amir,65+,2.6,No
R00843,B1518,06-02-2025,15,Eggs (6),Dairy,2,1.8,Card,In-store,Amir,26-35,5.2,No
R00630,B1384,27-01-2025,11,Cooking Oil 1L,Pantry,4,3.2,Cash,In-store,Bina,26-35,1.9,No
R02941,B2812,26-05-2025,20,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Carlos,65+,1.3,No
R01804,B2118,21-03-2025,19,Bottled Water 1.5L,Beverages,3,0.8,Cash,In-store,Amir,65+,0.5,No
R02717,B2674,16-05-2025,15,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Amir,65+,2.2,No
R00926,B1568,09-02-2025,16,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,51-65,2.2,No
R01807,B2120,21-03-2025,20,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,18-25,0.9,No
R01531,B1940,08-03-2025,9,Fresh Vegetables Pack,Fresh,2,3.5,Online,Online,Bina,51-65,6.9,No
R01934,B2197,27-03-2025,10,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,18-25,0.6,No
R01481,B1911,05-03-2025,15,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Carlos,51-65,1,Yes
R00360,B1223,16-01-2025,15,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,26-35,1.1,No
R02497,B2548,06-05-2025,19,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,51-65,1.4,No
R02047,B2269,01-04-2025,12,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,26-35,1.8,No
R01797,B2112,21-03-2025,16,Soap Bar,Household,2,0.7,Cash,In-store,Amir,26-35,0.4,No
R02837,B2749,21-05-2025,16,Milk 1L,Dairy,1,1.4,Cash,In-store,Bina,51-65,1.9,No
R01037,B1636,13-02-2025,17,Rice 1kg,Pantry,2,2,Cash,In-store,Carlos,65+,0.2,No
R01785,B2105,20-03-2025,8,Milk 1L,Dairy,4,1.4,Cash,In-store,Bina,51-65,1.2,Yes
R03087,B2913,15-02-2025,7,TEST,Other,1,0.01,Card,Online,Carlos,26-35,1,No
R00049,B1030,03-01-2025,22,Bottled Water 1.5L,Beverages,3,0.8,Cash,In-store,Amir,65+,0.8,Yes
R01507,B1925,07-03-2025,9,Soap Bar,Household,1,0.7,Cash,In-store,Bina,36-50,1.8,No
R00178,B1110,09-01-2025,19,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,51-65,1.8,No
R00481,B1286,20-01-2025,22,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,18-25,0.7,No
R00497,B1297,21-01-2025,21,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Carlos,51-65,1.7,No
R03011,B2853,29-05-2025,21,Tea Bags (25),Pantry,3,2.5,Card,In-store,Bina,18-25,6,No
R01666,B2023,14-03-2025,19,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,65+,1.8,No
R00880,B1539,07-02-2025,14,Coca Cola 500ml,Beverages,2,1.2,Cash,In-store,Bina,65+,0.3,Yes
R02924,B2802,25-05-2025,10,Instant Noodles,Pantry,1,0.6,Cash,In-store,Carlos,36-50,3.1,No
R01816,B2126,21-03-2025,7,Tea Bags (25),Pantry,3,2.5,Cash,In-store,Carlos,51-65,1.5,No
R02298,B2427,23-04-2025,11,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,51-65,1.5,No
R02166,B2341,11-04-2025,14,Soap Bar,Household,1,0.7,Cash,In-store,Bina,18-25,1.5,Yes
R03061,B2887,02-03-2025,7,test,Other,1,0.01,Card,Online,Bina,26-35,1,No
R01764,B2090,19-03-2025,14,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Bina,18-25,0.2,Yes
R00619,B1376,27-01-2025,17,Milk 1L,Dairy,1,1.4,Cash,In-store,Carlos,65+,1.5,Yes
R00859,B1528,06-02-2025,11,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,51-65,0.7,No
R00721,B1444,31-01-2025,14,Fresh Vegetables Pack,Fresh,4,3.5,Cash,In-store,Carlos,65+,0.3,No
R00084,B1054,05-01-2025,16,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,36-50,0.6,No
R01678,B2032,14-03-2025,17,Rice 1kg,Pantry,2,2,Cash,In-store,Carlos,36-50,2.1,Yes
R02164,B2340,11-04-2025,16,Fresh Vegetables Pack,Fresh,1,3.5,Card,In-store,Carlos,26-35,2.2,No
R00244,B1155,11-01-2025,14,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,65+,2,Yes
R00399,B1247,18-01-2025,14,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,36-50,0.2,No
R02640,B2631,12-05-2025,18,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,18-25,2.2,No
R00415,B1255,18-01-2025,15,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,26-35,0.4,No
R01517,B1931,07-03-2025,17,Cooking Oil 1L,Pantry,1,,Cash,In-store,Carlos,18-25,0.2,No
R00691,B1423,30-01-2025,10,Fresh Vegetables Pack,Fresh,1,3.5,Card,In-store,Amir,36-50,3.1,No
R02658,B2639,13-05-2025,20,Potato Chips,Snacks,2,1.1,Cash,In-store,Amir,51-65,0.6,No
R01415,B1871,02-03-2025,17,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,51-65,1.3,No
R02747,B2691,17-05-2025,10,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,36-50,1.6,No
R00386,B1240,17-01-2025,17,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Bina,36-50,1.4,Yes
R00927,B1569,09-02-2025,14,Rice 1kg,Pantry,2,2,Cash,In-store,Carlos,26-35,0.8,No
R01143,B1710,18-02-2025,15,Potato Chips,Snacks,1,1.1,Card,In-store,Amir,26-35,5,No
R02847,B2757,22-05-2025,15,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,51-65,1.7,No
R00678,B1417,29-01-2025,14,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,26-35,1.9,No
R00445,B1270,19-01-2025,14,Potato Chips,Snacks,1,1.1,Cash,In-store,Bina,36-50,1,No
R02853,B2760,22-05-2025,17,Eggs (6),Dairy,1,1.8,Cash,In-store,Carlos,36-50,1.1,Yes
R03077,B2903,08-01-2025,15,TEST,Other,1,0.01,Online,Online,Bina,26-35,1,No
R02960,B2823,27-05-2025,14,Bottled Water 1.5L,Beverages,2,0.8,Card,In-store,Amir,36-50,4.3,No
R01175,B1731,20-02-2025,7,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Bina,18-25,1.4,No
R02133,B2322,09-04-2025,12,Soap Bar,Household,3,0.7,Cash,In-store,Bina,36-50,0.7,Yes
R02377,B2476,01-05-2025,15,Potato Chips,Snacks,1,1.1,Cash,In-store,Bina,51-65,2.1,No
R02612,B2614,11-05-2025,7,Frozen Meals,Frozen,1,4,Cash,In-store,Carlos,36-50,0.8,No
R01717,B2060,16-03-2025,19,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,51-65,1.6,Yes
R00886,B1541,07-02-2025,17,Frozen Meals,Frozen,2,4,Card,In-store,Amir,51-65,4.9,Yes
R01151,B1715,19-02-2025,8,Rice 1kg,Pantry,1,2,Cash,In-store,Amir,36-50,1.9,No
R03069,B2895,21-01-2025,14,TEST,Other,1,0.01,Card,Online,Amir,26-35,1,No
R02311,B2434,23-04-2025,20,White bread,Bakery,2,1,Cash,In-store,Bina,65+,1.4,No
R02238,B2388,19-04-2025,16,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,18-25,1.1,No
R02667,B2645,14-05-2025,16,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,36-50,1.7,No
R02999,B2848,29-05-2025,21,Rice 1kg,Pantry,1,2,Cash,In-store,Bina,65+,0.8,Yes
R02240,B2390,19-04-2025,17,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,36-50,1.9,No
R02831,B2744,21-05-2025,15,White bread,Bakery,1,1,Cash,In-store,Carlos,51-65,0.5,No
R02324,B2444,25-04-2025,17,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,18-25,1.3,No
R02089,B2295,05-04-2025,11,Frozen Meals,Frozen,1,,Card,In-store,Bina,36-50,3.9,No
R00724,B1445,31-01-2025,15,White bread,Bakery,3,1,Cash,In-store,Carlos,26-35,1,No
R00808,B1496,04-02-2025,13,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Amir,51-65,0.5,Yes
R01308,B1810,26-02-2025,14,Instant Noodles,Pantry,2,0.6,Cash,In-store,Bina,26-35,3.6,No
R02354,B2467,29-04-2025,15,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,18-25,1.7,No
R03085,B2911,19-05-2025,16,xxx,Other,1,0.01,Card,Online,Bina,26-35,1,No
R02335,B2451,27-04-2025,8,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,26-35,1.5,No
R01958,B2214,28-03-2025,10,Fresh Vegetables Pack,Fresh,1,3.5,Online,Online,Carlos,51-65,3.3,Yes
R00487,B1290,21-01-2025,7,Potato Chips,Snacks,2,1.1,Cash,In-store,Amir,65+,1.8,No
R02867,B2770,23-05-2025,22,bread,Bakery,1,1,Cash,In-store,Amir,51-65,1.3,No
R02833,B2745,21-05-2025,18,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,36-50,1.6,No
R00427,B1262,19-01-2025,15,Tea Bags (25),Pantry,2,2.5,Cash,In-store,Carlos,26-35,1.3,No
R02879,B2775,23-05-2025,11,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,65+,0.4,No
R00781,B1480,03-02-2025,12,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,36-50,1.3,Yes
R02815,B2733,20-05-2025,14,Instant Noodles,Pantry,4,0.6,Cash,In-store,Amir,65+,1.3,No
R01083,B1671,16-02-2025,17,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,26-35,1.1,No
R01314,B1815,26-02-2025,19,White bread,Bakery,1,1,Cash,In-store,Amir,18-25,1.5,Yes
R00171,B1107,09-01-2025,17,Potato Chips,Snacks,4,1.1,Cash,In-store,Carlos,65+,1.6,No
R00542,B1326,23-01-2025,19,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,65+,2.9,No
R00758,B1467,02-02-2025,16,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,26-35,0.5,No
R01369,B1848,28-02-2025,17,coke,Beverages,2,1.2,Cash,In-store,Bina,51-65,1.8,No
R01663,B2022,14-03-2025,18,Fresh Vegetables Pack,Fresh,2,3.5,Cash,In-store,Amir,65+,0.9,Yes
R01337,B1827,27-02-2025,9,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,26-35,0.3,No
R01696,B2042,15-03-2025,20,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,65+,1.3,Yes
R01261,B1782,24-02-2025,15,Instant Noodles,Pantry,3,0.6,Cash,In-store,Bina,18-25,2,Yes
R00307,B1192,14-01-2025,17,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,51-65,2.1,No
R01815,B2126,21-03-2025,7,White bread,Bakery,2,1,Cash,In-store,Carlos,51-65,1.5,No
R02274,B2412,21-04-2025,15,Tea Bags (25),Pantry,2,2.5,Cash,In-store,Bina,36-50,2,No
R01532,B1940,08-03-2025,9,Soap Bar,Household,1,0.7,Online,Online,Bina,51-65,6.9,No
R00625,B1380,27-01-2025,20,Tea Bags (25),Pantry,1,2.5,Card,In-store,Amir,26-35,3.8,Yes
R00539,B1324,23-01-2025,11,coke,Beverages,2,1.2,Cash,In-store,Carlos,65+,1.3,No
R00727,B1447,01-02-2025,16,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,26-35,1.5,No
R00275,B1173,12-01-2025,16,Eggs (6),Dairy,3,1.8,Cash,In-store,Carlos,26-35,1.7,No
R01383,B1857,01-03-2025,19,White bread,Bakery,1,1,Cash,In-store,Bina,18-25,1.4,No
R01406,B1868,02-03-2025,7,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Amir,51-65,1.9,Yes
R02845,B2755,22-05-2025,12,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,36-50,0.7,No
R01961,B2216,28-03-2025,18,bread,Bakery,2,1,Cash,In-store,Amir,36-50,0.7,Yes
R01618,B1994,12-03-2025,19,Coca-Cola,Beverages,1,1.2,Cash,In-store,Amir,36-50,1.7,No
R00598,B1362,26-01-2025,22,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Amir,26-35,1.1,No
R02617,B2616,11-05-2025,21,Milk 1L,Dairy,2,1.4,Cash,In-store,Bina,36-50,1.3,No
R00232,B1147,11-01-2025,7,Soap Bar,Household,1,0.7,Cash,In-store,Amir,26-35,1.4,No
R02806,B2728,20-05-2025,16,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Bina,36-50,0.8,No
R00701,B1430,31-01-2025,11,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,36-50,1.2,Yes
R02933,B2807,26-05-2025,7,Tea Bags (25),Pantry,2,2.5,Cash,In-store,Carlos,26-35,1.8,Yes
R00763,B1469,02-02-2025,16,Soap Bar,Household,2,0.7,Cash,In-store,Bina,65+,1.5,No
R00496,B1296,21-01-2025,10,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,36-50,0.7,Yes
R01554,B1951,09-03-2025,8,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,36-50,1.6,Yes
R01320,B1818,27-02-2025,16,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Amir,18-25,1.6,Yes
R00899,B1548,08-02-2025,14,Frozen Meals,Frozen,2,4,Cash,In-store,Bina,36-50,1.2,No
R01718,B2060,16-03-2025,19,Rice 1kg,Pantry,1,2,Cash,In-store,Bina,51-65,1.6,Yes
R01667,B2024,14-03-2025,15,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,26-35,0.9,No
R02436,B2510,03-05-2025,14,Potato Chips,Snacks,2,1.1,Card,In-store,Bina,51-65,3.6,No
R00567,B1340,24-01-2025,10,Soap Bar,Household,3,0.7,Cash,In-store,Amir,26-35,1.9,No
R01496,B1919,06-03-2025,8,coke,Beverages,1,1.2,Cash,In-store,Amir,51-65,0.9,Yes
R01316,B1816,26-02-2025,15,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,26-35,1,No
R02657,B2638,13-05-2025,22,Fresh Vegetables Pack,Fresh,2,3.5,Cash,In-store,Amir,65+,1.8,No
R00071,B1044,04-01-2025,20,Soap Bar,Household,1,0.7,Cash,In-store,Carlos,36-50,0.4,No
R02258,B2401,19-04-2025,17,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Bina,65+,1.6,No
R02334,B2451,27-04-2025,8,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,26-35,1.5,No
R02642,B2632,13-05-2025,20,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Amir,65+,1.4,No
R02482,B2538,05-05-2025,19,Chocolate Bar,Snacks,2,0.9,Cash,In-store,Bina,26-35,2.5,Yes
R00906,B1553,08-02-2025,7,White bread,Bakery,3,1,Cash,In-store,Amir,26-35,1.3,No
R02861,B2766,23-05-2025,18,coca cola,Beverages,1,1.2,Cash,In-store,Bina,65+,0.9,No
R02970,B2831,27-05-2025,18,Potato Chips,Snacks,4,1.1,Cash,In-store,Amir,18-25,2.3,No
R00561,B1336,24-01-2025,13,White bread,Bakery,1,1,Cash,In-store,Bina,65+,2.6,No
R01859,B2151,24-03-2025,14,Soap Bar,Household,2,0.7,Cash,In-store,Bina,26-35,1.2,No
R01636,B2004,12-03-2025,10,Coca-Cola,Beverages,1,1.2,Cash,In-store,Amir,26-35,1.8,No
R00748,B1461,02-02-2025,13,White Bread,Bakery,1,1,Cash,In-store,Carlos,65+,1.1,No
R00131,B1084,06-01-2025,15,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,36-50,1.9,Yes
R00941,B1578,10-02-2025,15,bread,Bakery,1,1,Cash,In-store,Bina,36-50,1.8,Yes
R01977,B2225,29-03-2025,8,Frozen Meals,Frozen,1,4,Cash,In-store,Carlos,65+,0.2,No
R00918,B1562,09-02-2025,21,Coca Cola 500ml,Beverages,3,1.2,Cash,In-store,Carlos,26-35,0.5,No
R03008,B2851,29-05-2025,15,Instant Noodles,Pantry,4,0.6,Cash,In-store,Bina,36-50,1.5,Yes
R02985,B2838,28-05-2025,11,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Amir,51-65,2.3,No
R01205,B1748,22-02-2025,17,Potato Chips,Snacks,2,1.1,Card,In-store,Bina,36-50,6.8,No
R01202,B1747,22-02-2025,20,Soap Bar,Household,1,0.7,Cash,In-store,Bina,65+,0.6,No
R01226,B1762,23-02-2025,13,Instant Noodles,Pantry,2,0.6,Cash,In-store,Bina,26-35,1.5,No
R00996,B1607,12-02-2025,14,White Bread,Bakery,1,1,Cash,In-store,Amir,18-25,1.3,No
R00023,B1012,01-01-2025,7,Fresh Vegetables Pack,Fresh,2,3.5,Cash,In-store,Amir,36-50,1.6,No
R02113,B2312,07-04-2025,14,Potato Chips,Snacks,1,1.1,Cash,In-store,Amir,26-35,1.1,No
R00602,B1364,26-01-2025,9,Milk 1L,Dairy,1,1.4,Online,Online,Amir,26-35,6.9,No
R01280,B1793,25-02-2025,13,Bottled Water 1.5L,Beverages,3,0.8,Cash,In-store,Bina,36-50,1.1,No
R02752,B2693,17-05-2025,21,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Carlos,36-50,0.8,Yes
R00490,B1293,21-01-2025,11,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,36-50,0.5,Yes
R00741,B1456,01-02-2025,15,Rice 1kg,Pantry,2,2,Cash,In-store,Amir,26-35,1.3,No
R01463,B1897,04-03-2025,8,Coca-Cola,Beverages,1,1.2,Cash,In-store,Carlos,51-65,0.4,Yes
R01798,B2113,21-03-2025,17,Rice 1kg,Pantry,2,2,Cash,In-store,Carlos,26-35,1.7,No
R00052,B1032,03-01-2025,16,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Carlos,26-35,1.1,No
R00606,B1366,26-01-2025,17,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,36-50,2,Yes
R02232,B2383,17-04-2025,17,Rice 1kg,Pantry,2,2,Cash,In-store,Amir,51-65,0.7,Yes
R01560,B1955,09-03-2025,18,Milk 1L,Dairy,2,1.4,Cash,In-store,Amir,51-65,1.7,No
R00226,B1143,11-01-2025,21,Soap Bar,Household,3,0.7,Cash,In-store,Carlos,26-35,1.2,No
R02431,B2508,03-05-2025,17,Bottled Water 1.5L,Beverages,4,0.8,Cash,In-store,Amir,65+,0.2,No
R01680,B2033,14-03-2025,14,Soap Bar,Household,1,0.7,Cash,In-store,Bina,65+,0.5,No
R01263,B1784,24-02-2025,16,Tea Bags (25),Pantry,2,2.5,Online,Online,Bina,26-35,2.7,No
R02460,B2524,05-05-2025,7,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Amir,65+,0.9,No
R01920,B2187,26-03-2025,14,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Bina,36-50,1.5,Yes
R00487,B1290,21-01-2025,7,Potato Chips,Snacks,2,1.1,Cash,In-store,Amir,65+,1.8,No
R01573,B1961,10-03-2025,14,Frozen Meals,Frozen,1,4,Card,In-store,Amir,26-35,4.3,No
R01454,B1893,04-03-2025,18,bread,Bakery,1,1,Cash,In-store,Carlos,65+,0.5,Yes
R00326,B1201,14-01-2025,16,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,36-50,2.9,Yes
R00224,B1142,11-01-2025,16,Milk 1L,Dairy,2,1.4,Cash,In-store,Bina,26-35,2.1,No
R00361,B1224,16-01-2025,17,Eggs (6),Dairy,2,1.8,Cash,In-store,Amir,51-65,0.2,No
R01267,B1784,24-02-2025,16,Rice 1kg,Pantry,1,2,Online,Online,Bina,26-35,2.7,No
R02587,B2599,10-05-2025,12,Potato Chips,Snacks,3,1.1,Card,In-store,Amir,51-65,4.7,No
R00343,B1212,15-01-2025,15,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,65+,1.3,No
R02824,B2739,21-05-2025,15,Rice 1kg,Pantry,2,2,Cash,In-store,Carlos,18-25,1,Yes
